BANK,ADDR,NAME,POR VAL,R MASK,W MASK,U MASK,SYNC TO ADDR
0,0,INDF0,0,0,0,ff,
0,1,INDF1,0,0,0,ff,
0,2,PCL,0,,,,
0,3,STATUS,18,ff,7,e0,
0,4,FSR0L,0,,,,
0,5,FSR0H,0,,,,
0,6,FSR1L,0,,,,
0,7,FSR1H,0,,,,
0,8,BSR,0,,,,
0,9,WREG,0,,,,
0,10,PCLATH,0,,,,
0,11,INTCON,0,,,,
0,12,PORTA,,,,,
0,13,PORTB,,,,,
0,14,,,,,,
0,15,,,,,,
0,16,,,,,,
0,17,PIR1,,,,,
0,18,PIR2,,,,,
0,19,PIR3,,,,,
0,20,PIR4,,,,,
0,21,TMR0,,,,,
0,22,TMR1L,,,,,
0,23,TMR1H,,,,,
0,24,T1CON,,,,,
0,25,T1GCON,,,,,
0,26,TMR2,,,,,
0,27,PR2,,,,,
0,28,T2CON,,,,,
0,29,,,,,,
0,30,GPSCON0,,,,,
0,31,GPSCON1,,,,,
0,32,__96,,,,,
1,0,__12,,,,,0x0
1,12,TRISA,,,,,
1,13,TRISB,,,,,
1,14,,,,,,
1,15,,,,,,
1,16,,,,,,
1,17,PIE1,,,,,
1,18,PIE2,,,,,
1,19,PIE3,,,,,
1,20,PIE4,,,,,
1,21,OPTION,,,,,
1,22,PCON,,,,,
1,23,WDTCON,,,,,
1,24,OSCTUNE,,,,,
1,25,OSCCON,,,,,
1,26,OSCSTAT,,,,,
1,27,ADRESL,,,,,
1,28,ADRESH,,,,,
1,29,ADCON0,,,,,
1,30,ADCON1,,,,,
1,31,,,,,,
1,32,__80,,,,,
1,112,__16,,,,,0x70
2,0,__12,,,,,0x0
2,12,LATA,,,,,
2,13,LATB,,,,,
2,14,,,,,,
2,15,,,,,,
2,16,,,,,,
2,17,CM1CCON0,,,,,
2,18,CM1CON1,,,,,
2,19,CM2CON0,,,,,
2,20,CM2CON1,,,,,
2,21,CMOUT,,,,,
2,22,BORCON,,,,,
2,23,FVRCON,,,,,
2,24,DACCON0,,,,,
2,25,DACCON1,,,,,
2,26,SRCON0,,,,,
2,27,SRCON1,,,,,
2,28,,,,,,
2,29,APFCON0,,,,,
2,30,APFCON1,,,,,
2,31,,,,,,
2,32,__80,,,,,
2,112,__16,,,,,0x70
3,0,__12,,,,,0x0
3,12,ANSELA,,,,,
3,13,ANSELB,,,,,
3,14,,,,,,
3,15,,,,,,
3,16,,,,,,
3,17,EEADRL,,,,,
3,18,EEADRH,,,,,
3,19,EEDATL,,,,,
3,20,EEDATH,,,,,
3,21,EECON1,,,,,
3,22,EECON2,,,,,
3,23,,,,,,
3,24,,,,,,
3,25,RCREG,,,,,
3,26,TXREG,,,,,
3,27,SPBRGL,,,,,
3,28,SPBRGH,,,,,
3,29,RCSTA,,,,,
3,30,TXSTA,,,,,
3,31,BAUDCON,,,,,
3,32,__80,,,,,
3,112,__16,,,,,0x70
4,0,__12,,,,,0x0
4,12,WPUA,,,,,
4,13,WPUB,,,,,
4,14,,,,,,
4,15,,,,,,
4,16,,,,,,
4,17,SSP1BUF,,,,,
4,18,SSP1ADD,,,,,
4,19,SSP1MASK,,,,,
4,20,SSP1STAT,,,,,
4,21,SSP1CON,,,,,
4,22,SSP1CON2,,,,,
4,23,SSP1CON3,,,,,
4,24,,,,,,
4,25,SSP2BUF,,,,,
4,26,SSP2ADD,,,,,
4,27,SSP2MASK,,,,,
4,28,SSP2STAT,,,,,
4,29,SSP2CON,,,,,
4,30,SSP2CON2,,,,,
4,31,SSP2CON3,,,,,
4,32,__48,,,,,
